study_1000	2619619242	99.6	245	1	0	1	245	1	1312	-1	0
study_10	2534681820	100.0	245	0	0	1	245	1	1487	-1	0
study_1007	2513237338	92.2	245	17	2	1	245	1	1499	-1	0
study_101	649989983	99.6	245	1	0	1	245	1	1545	-1	0
study_1003	2574179786	97.2	246	6	1	1	245	1	1385	-1	0
study_100	2510065016	94.3	245	14	0	1	245	1	1439	-1	0
study_1	2529292749_cluster	100.0	245	0	0	1	245	1	1342	-1	0
study_1011	651285008	100.0	245	0	0	1	245	1	1533	-1	0
study_1004	2597490297	100.0	245	0	0	1	245	1	1510	-1	0
study_1002	644736366	99.2	245	1	1	1	245	1	1501	-1	0
study_102	2558860284	100.0	245	0	0	1	245	1	1429	-1	0
study_1008	2558860923	98.8	246	1	2	1	245	1	1402	-1	0
study_1015	2537561950	99.2	246	0	2	1	245	1	1333	-1	0
study_1005	2516143105	100.0	245	0	0	1	245	1	1420	-1	0
study_1009	2734482253	99.2	245	1	1	1	245	1	1514	-1	0
study_1018	2528768167	99.2	245	2	0	1	245	1	1394	-1	0
study_1001	645951817	100.0	245	0	0	1	245	1	1534	-1	0
study_1021	2627853762	99.6	245	1	0	1	245	1	1543	-1	0
study_1017	2558860923	98.8	245	2	1	1	245	1	1402	-1	0
study_1014	2574179786	96.7	246	7	1	1	245	1	1385	-1	0
study_1022	2513237338	99.2	245	1	1	1	245	1	1499	-1	0
study_1016	2531839279	99.2	245	2	0	1	245	1	1451	-1	0
study_1023	648861006	99.2	245	2	0	1	245	1	1522	-1	0
study_1006	2690315875	99.6	245	1	0	1	245	1	1503	-1	0
study_1010	2513237386	100.0	245	0	0	1	245	1	1537	-1	0
study_1024	2651869761	80.4	245	48	0	1	245	1	1528	-1	0
study_1026	2585427901	100.0	245	0	0	1	245	1	1342	-1	0
study_103	2558309122	98.4	245	4	0	1	245	1	1499	-1	0
study_1020	645951817	100.0	245	0	0	1	245	1	1534	-1	0
study_1027	2593339217	98.4	245	4	0	1	245	1	1390	-1	0
study_1029	2623620526	96.7	245	3	1	1	245	1	1533	-1	0
study_1019	649633043	96.7	245	8	0	1	245	1	1489	-1	0
study_1032	2531839741	98.4	245	4	0	1	245	1	1384	-1	0
study_1025	2600255237	98.8	247	1	2	1	245	1	1512	-1	0
study_1040	2585427812	97.6	245	6	0	1	245	1	1374	-1	0
study_1012	2585427614	85.5	248	33	1	1	245	1	1505	-1	0
study_1031	645058800	99.6	245	0	1	1	245	1	1458	-1	0
study_1035	2541047016	100.0	245	0	0	1	245	1	1507	-1	0
study_1028	2579778737	99.6	245	1	0	1	245	1	1417	-1	0
study_1044	2541046980	92.7	245	17	1	1	245	1	1497	-1	0
study_105	2582580916	100.0	245	0	0	1	245	1	1391	-1	0
study_1045	648276723	100.0	245	0	0	1	245	1	1258	-1	0
study_1047	2519899684	94.3	245	14	0	1	245	1	1387	-1	0
study_1060	2548876509	99.6	245	1	0	1	245	1	1253	-1	0
study_1055	2513237313	99.6	245	1	0	1	245	1	1512	-1	0
study_1052	2600255043	99.6	245	1	0	1	245	1	1512	-1	0
study_1059	2602041616	100.0	245	0	0	1	245	1	1382	-1	0
study_1063	2517572002	100.0	245	0	0	1	245	1	1412	-1	0
study_1054	2537561628	98.0	245	3	2	1	245	1	1455	-1	0
study_107	2512047045_cluster	100.0	245	0	0	1	245	1	1401	-1	0
study_1078	2519899684	95.1	246	10	2	1	245	1	1387	-1	0
study_1073	2537561582	100.0	245	0	0	1	245	1	1268	-1	0
study_1067	2593339213	95.9	245	10	0	1	245	1	1392	-1	0
study_1056	645951831	99.6	245	1	0	1	245	1	1494	-1	0
study_1058	651324039	99.2	245	2	0	1	245	1	1526	-1	0
